Doc_name	Precision	Recall
CACM-2711	1.0	0.032
CACM-2307	1.0	0.065
CACM-1236	1.0	0.097
CACM-1457	1.0	0.129
CACM-2451	1.0	0.161
CACM-2631	1.0	0.194
CACM-2990	1.0	0.226
CACM-3134	1.0	0.258
CACM-2140	0.889	0.258
CACM-3129	0.8	0.258
CACM-0634	0.727	0.258
CACM-2114	0.667	0.258
CACM-1976	0.692	0.29
CACM-1700	0.643	0.29
CACM-2561	0.6	0.29
CACM-1927	0.625	0.323
CACM-1287	0.588	0.323
CACM-2484	0.556	0.323
CACM-0397	0.526	0.323
CACM-2437	0.5	0.323
CACM-2746	0.476	0.323
CACM-1194	0.455	0.323
CACM-2916	0.435	0.323
CACM-3072	0.417	0.323
CACM-2160	0.44	0.355
CACM-2991	0.423	0.355
CACM-2978	0.407	0.355
CACM-2882	0.393	0.355
CACM-1725	0.379	0.355
CACM-2646	0.367	0.355
CACM-0239	0.355	0.355
CACM-3087	0.344	0.355
CACM-2722	0.333	0.355
CACM-1235	0.324	0.355
CACM-1916	0.314	0.355
CACM-2947	0.306	0.355
CACM-2494	0.297	0.355
CACM-1705	0.289	0.355
CACM-2486	0.282	0.355
CACM-2883	0.275	0.355
CACM-2680	0.268	0.355
CACM-1935	0.262	0.355
CACM-1699	0.256	0.355
CACM-0695	0.25	0.355
CACM-2969	0.244	0.355
CACM-1677	0.239	0.355
CACM-2846	0.234	0.355
CACM-1808	0.229	0.355
CACM-1886	0.224	0.355
CACM-3137	0.22	0.355
CACM-2033	0.216	0.355
CACM-2547	0.212	0.355
CACM-2523	0.208	0.355
CACM-1413	0.204	0.355
CACM-1402	0.2	0.355
CACM-2753	0.196	0.355
CACM-1359	0.193	0.355
CACM-0944	0.19	0.355
CACM-1652	0.186	0.355
CACM-2402	0.183	0.355
CACM-1674	0.18	0.355
CACM-1527	0.177	0.355
CACM-2516	0.175	0.355
CACM-2695	0.172	0.355
CACM-2862	0.169	0.355
CACM-2196	0.167	0.355
CACM-0615	0.164	0.355
CACM-2288	0.162	0.355
CACM-0531	0.159	0.355
CACM-2688	0.157	0.355
CACM-3057	0.155	0.355
CACM-2278	0.153	0.355
CACM-1456	0.151	0.355
CACM-2258	0.149	0.355
CACM-3012	0.16	0.387
CACM-2141	0.158	0.387
CACM-2233	0.156	0.387
CACM-2517	0.154	0.387
CACM-1517	0.152	0.387
CACM-1135	0.15	0.387
CACM-1651	0.148	0.387
CACM-3125	0.146	0.387
CACM-2047	0.145	0.387
CACM-1398	0.143	0.387
CACM-3084	0.141	0.387
CACM-3135	0.14	0.387
CACM-0144	0.138	0.387
CACM-2835	0.136	0.387
CACM-0095	0.135	0.387
CACM-1290	0.133	0.387
CACM-3002	0.132	0.387
CACM-3103	0.13	0.387
CACM-2998	0.129	0.387
CACM-2920	0.128	0.387
CACM-1830	0.137	0.419
CACM-1334	0.135	0.419
CACM-1928	0.134	0.419
CACM-2344	0.133	0.419
CACM-2245	0.131	0.419
CACM-1641	0.13	0.419
