query	p@5
1	0.1
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.05
8	0.1
9	0.15
10	0.4
11	0.35
12	0.1
13	0.1
14	0.1
15	0.05
16	0.15
17	0.15
18	0.05
19	0.3
20	0.1
21	0.1
22	0.05
23	0.15
24	0.05
25	0.25
26	0.05
27	0.35
28	0.2
29	0.05
30	0.05
31	0.05
32	0.05
33	0.0
36	0.1
37	0.05
38	0.05
39	0.15
40	0.2
42	0.25
43	0.05
44	0.1
45	0.25
48	0.0
49	0.05
57	0.05
58	0.2
59	0.3
60	0.25
61	0.45
62	0.1
63	0.3
64	0.05
