query	p@5
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.2
9	0.2
10	0.4
11	0.6
12	0.2
13	0.2
14	0.2
15	0.0
16	0.2
17	0.0
18	0.2
19	0.4
20	0.4
21	0.0
22	0.0
23	0.4
24	0.2
25	0.2
26	0.0
27	0.6
28	0.8
29	0.0
30	0.0
31	0.2
32	0.2
33	0.0
36	0.2
37	0.2
38	0.0
39	0.2
40	0.0
42	0.2
43	0.0
44	0.4
45	0.4
48	0.0
49	0.0
57	0.2
58	0.0
59	0.2
60	0.2
61	0.8
62	0.2
63	0.6
64	0.2
