Doc_name	Precision	Recall
CACM-3131	0.0		0.0
CACM-2819	0.0		0.0
CACM-3087	0.0		0.0
CACM-2289	0.0		0.0
CACM-2181	0.0		0.0
CACM-2890	0.0		0.0
CACM-3164	0.0		0.0
CACM-3057	0.0		0.0
CACM-2484	0.0		0.0
CACM-2812	0.0		0.0
CACM-3112	0.0		0.0
CACM-2931	0.0		0.0
CACM-2674	0.0		0.0
CACM-1886	0.0		0.0
CACM-3058	0.0		0.0
CACM-2750	0.0		0.0
CACM-2716	0.059		0.023
CACM-3037	0.056		0.023
CACM-1412	0.053		0.023
CACM-2924	0.05		0.023
CACM-3032	0.048		0.023
CACM-1752	0.045		0.023
CACM-3085	0.043		0.023
CACM-3132	0.042		0.023
CACM-2174	0.04		0.023
CACM-1423	0.038		0.023
CACM-3067	0.037		0.023
CACM-2964	0.036		0.023
CACM-2142	0.034		0.023
CACM-1197	0.033		0.023
CACM-1961	0.032		0.023
CACM-2679	0.062		0.045
CACM-0717	0.061		0.045
CACM-0630	0.059		0.045
CACM-2997	0.057		0.045
CACM-2963	0.056		0.045
CACM-2308	0.054		0.045
CACM-2337	0.079		0.068
CACM-3151	0.077		0.068
CACM-1873	0.075		0.068
CACM-1724	0.098		0.091
CACM-2522	0.095		0.091
CACM-2314	0.093		0.091
CACM-2051	0.091		0.091
CACM-3011	0.089		0.091
CACM-2959	0.087		0.091
CACM-2081	0.085		0.091
CACM-3075	0.104		0.114
CACM-1135	0.102		0.114
CACM-3049	0.1		0.114
CACM-3038	0.098		0.114
CACM-2106	0.096		0.114
CACM-2050	0.094		0.114
CACM-0655	0.093		0.114
CACM-2481	0.091		0.114
CACM-2324	0.089		0.114
CACM-3157	0.088		0.114
CACM-3033	0.086		0.114
CACM-1594	0.085		0.114
CACM-2065	0.083		0.114
CACM-3156	0.082		0.114
CACM-1433	0.081		0.114
CACM-2900	0.079		0.114
CACM-3166	0.078		0.114
CACM-2816	0.077		0.114
CACM-3177	0.076		0.114
CACM-2146	0.09		0.136
CACM-2722	0.088		0.136
CACM-0950	0.087		0.136
CACM-1483	0.086		0.136
CACM-1905	0.085		0.136
CACM-2188	0.083		0.136
CACM-0867	0.082		0.136
CACM-2650	0.081		0.136
CACM-3171	0.08		0.136
CACM-2064	0.079		0.136
CACM-3040	0.078		0.136
CACM-1098	0.077		0.136
CACM-2406	0.076		0.136
CACM-1506	0.075		0.136
CACM-2967	0.074		0.136
CACM-1196	0.073		0.136
CACM-2627	0.072		0.136
CACM-2692	0.071		0.136
CACM-2834	0.071		0.136
CACM-3134	0.07		0.136
CACM-2450	0.069		0.136
CACM-3124	0.068		0.136
CACM-1566	0.067		0.136
CACM-3153	0.067		0.136
CACM-2272	0.077		0.159
CACM-2887	0.076		0.159
CACM-3163	0.075		0.159
CACM-2266	0.074		0.159
CACM-2860	0.074		0.159
CACM-1795	0.073		0.159
CACM-3036	0.072		0.159
CACM-2742	0.071		0.159
CACM-3103	0.071		0.159
CACM-2827	0.07		0.159
