Doc_name	Precision	Recall
CACM-2342	0.0	0.0
CACM-3043	0.0	0.0
CACM-1696	0.333	0.077
CACM-2740	0.25	0.077
CACM-1846	0.2	0.077
CACM-2376	0.167	0.077
CACM-2882	0.143	0.077
CACM-1135	0.125	0.077
CACM-1748	0.111	0.077
CACM-1749	0.1	0.077
CACM-2320	0.091	0.077
CACM-2378	0.083	0.077
CACM-3128	0.077	0.077
CACM-3141	0.071	0.077
CACM-1410	0.067	0.077
CACM-1194	0.062	0.077
CACM-1272	0.059	0.077
CACM-1753	0.056	0.077
CACM-2080	0.053	0.077
CACM-2150	0.05	0.077
CACM-2228	0.048	0.077
CACM-2371	0.045	0.077
CACM-2912	0.043	0.077
CACM-2920	0.042	0.077
CACM-3039	0.04	0.077
CACM-3073	0.038	0.077
CACM-3078	0.074	0.154
CACM-0020	0.071	0.154
CACM-0942	0.069	0.154
CACM-2931	0.067	0.154
CACM-3120	0.065	0.154
CACM-1441	0.062	0.154
CACM-1886	0.061	0.154
CACM-2203	0.059	0.154
CACM-2210	0.057	0.154
CACM-2705	0.056	0.154
CACM-3020	0.054	0.154
CACM-0268	0.053	0.154
CACM-1235	0.051	0.154
CACM-1435	0.05	0.154
CACM-1540	0.049	0.154
CACM-1892	0.071	0.231
CACM-2535	0.07	0.231
CACM-2742	0.068	0.231
CACM-2767	0.067	0.231
CACM-0224	0.065	0.231
CACM-0243	0.064	0.231
CACM-0278	0.062	0.231
CACM-0412	0.061	0.231
CACM-0618	0.06	0.231
CACM-0825	0.059	0.231
CACM-1098	0.058	0.231
CACM-1145	0.057	0.231
CACM-1198	0.056	0.231
CACM-1199	0.055	0.231
CACM-1308	0.054	0.231
CACM-1385	0.053	0.231
CACM-1458	0.052	0.231
CACM-1518	0.051	0.231
CACM-1541	0.05	0.231
CACM-1587	0.049	0.231
CACM-1698	0.048	0.231
CACM-1706	0.048	0.231
CACM-1747	0.047	0.231
CACM-1828	0.046	0.231
CACM-1854	0.045	0.231
CACM-1928	0.045	0.231
CACM-1960	0.044	0.231
CACM-2060	0.043	0.231
CACM-2255	0.043	0.231
CACM-2307	0.042	0.231
CACM-2327	0.042	0.231
CACM-2379	0.041	0.231
CACM-2383	0.041	0.231
CACM-2396	0.04	0.231
CACM-2504	0.039	0.231
CACM-2519	0.039	0.231
CACM-2522	0.038	0.231
CACM-2580	0.038	0.231
CACM-2581	0.037	0.231
CACM-2629	0.037	0.231
CACM-2672	0.037	0.231
CACM-2717	0.036	0.231
CACM-2795	0.036	0.231
CACM-2848	0.035	0.231
CACM-2851	0.035	0.231
CACM-2865	0.034	0.231
CACM-2895	0.034	0.231
CACM-2911	0.034	0.231
CACM-2922	0.033	0.231
CACM-2979	0.033	0.231
CACM-3056	0.033	0.231
CACM-3072	0.032	0.231
CACM-3081	0.032	0.231
CACM-3127	0.032	0.231
CACM-3140	0.031	0.231
CACM-3184	0.031	0.231
CACM-0078	0.031	0.231
CACM-0095	0.03	0.231
CACM-0111	0.03	0.231
