Doc_name	Precision	Recall
CACM-1659	0.0	0.0
CACM-3086	0.0	0.0
CACM-2950	0.0	0.0
CACM-2645	0.0	0.0
CACM-2927	0.0	0.0
CACM-2289	0.0	0.0
CACM-2997	0.0	0.0
CACM-2828	0.0	0.0
CACM-2702	0.111	0.091
CACM-2325	0.1	0.091
CACM-3166	0.091	0.091
CACM-2884	0.083	0.091
CACM-2932	0.154	0.182
CACM-2337	0.143	0.182
CACM-2936	0.133	0.182
CACM-3131	0.125	0.182
CACM-2903	0.118	0.182
CACM-2033	0.111	0.182
CACM-3163	0.105	0.182
CACM-2499	0.1	0.182
CACM-2263	0.095	0.182
CACM-2902	0.091	0.182
CACM-3018	0.13	0.273
CACM-1658	0.125	0.273
CACM-2216	0.12	0.273
CACM-2283	0.115	0.273
CACM-3006	0.111	0.273
CACM-1924	0.107	0.273
CACM-2146	0.103	0.273
CACM-2692	0.1	0.273
CACM-2837	0.097	0.273
CACM-2931	0.094	0.273
CACM-2892	0.091	0.273
CACM-2273	0.088	0.273
CACM-2767	0.086	0.273
CACM-2035	0.083	0.273
CACM-2679	0.081	0.273
CACM-2226	0.079	0.273
CACM-1366	0.077	0.273
CACM-2454	0.075	0.273
CACM-1350	0.073	0.273
CACM-2627	0.071	0.273
CACM-1309	0.07	0.273
CACM-2092	0.068	0.273
CACM-2110	0.067	0.273
CACM-2819	0.065	0.273
CACM-2569	0.064	0.273
CACM-2002	0.062	0.273
CACM-3064	0.061	0.273
CACM-0409	0.06	0.273
CACM-3055	0.059	0.273
CACM-2674	0.058	0.273
CACM-2863	0.057	0.273
CACM-1886	0.056	0.273
CACM-2986	0.055	0.273
CACM-2968	0.054	0.273
CACM-3070	0.053	0.273
CACM-2703	0.069	0.364
CACM-0796	0.068	0.364
CACM-2882	0.067	0.364
CACM-2938	0.066	0.364
CACM-3032	0.065	0.364
CACM-1465	0.063	0.364
CACM-2911	0.062	0.364
CACM-3154	0.062	0.364
CACM-1491	0.061	0.364
CACM-1392	0.06	0.364
CACM-2490	0.074	0.455
CACM-2722	0.072	0.455
CACM-2734	0.071	0.455
CACM-2979	0.07	0.455
CACM-2953	0.069	0.455
CACM-1719	0.068	0.455
CACM-3150	0.068	0.455
CACM-2457	0.067	0.455
CACM-2483	0.066	0.455
CACM-1947	0.065	0.455
CACM-1752	0.064	0.455
CACM-2389	0.063	0.455
CACM-2484	0.062	0.455
CACM-1650	0.062	0.455
CACM-1877	0.061	0.455
CACM-1572	0.06	0.455
CACM-1957	0.06	0.455
CACM-2628	0.059	0.455
CACM-2251	0.058	0.455
CACM-2746	0.057	0.455
CACM-3151	0.057	0.455
CACM-1769	0.056	0.455
CACM-2127	0.056	0.455
CACM-2765	0.055	0.455
CACM-2030	0.054	0.455
CACM-2142	0.054	0.455
CACM-2167	0.053	0.455
CACM-2276	0.053	0.455
CACM-2646	0.052	0.455
CACM-2860	0.052	0.455
CACM-2924	0.051	0.455
CACM-3153	0.051	0.455
CACM-3037	0.05	0.455
