query	p@5
1	0.4
2	0.6
3	0.0
4	0.4
5	0.2
6	0.2
7	0.6
8	0.2
9	0.4
10	0.6
11	0.6
12	0.4
13	0.8
14	0.2
15	0.2
16	0.2
17	0.2
18	0.0
19	0.8
20	0.4
21	0.0
22	0.0
23	0.6
24	0.2
25	0.6
26	0.0
27	0.8
28	0.8
29	0.2
30	0.0
31	0.2
32	0.2
33	0.0
36	0.0
37	0.2
38	0.2
39	0.4
40	0.4
42	0.0
43	0.4
44	0.4
45	0.8
48	0.0
49	0.0
57	0.2
58	0.8
59	0.4
60	0.2
61	0.8
62	0.0
63	0.8
64	0.2
