Doc_name	Precision	Recall
CACM-2276	0.0		0.0
CACM-2914	0.0		0.0
CACM-2926	0.0		0.0
CACM-2406	0.0		0.0
CACM-2849	0.0		0.0
CACM-2949	0.0		0.0
CACM-1951	0.0		0.0
CACM-2032	0.0		0.0
CACM-3137	0.0		0.0
CACM-3082	0.1		0.083
CACM-2261	0.091		0.083
CACM-1733	0.083		0.083
CACM-2454	0.077		0.083
CACM-1778	0.071		0.083
CACM-0241	0.067		0.083
CACM-2549	0.062		0.083
CACM-1941	0.059		0.083
CACM-2481	0.056		0.083
CACM-2816	0.053		0.083
CACM-2123	0.05		0.083
CACM-1894	0.048		0.083
CACM-2259	0.045		0.083
CACM-2649	0.043		0.083
CACM-1716	0.042		0.083
CACM-1944	0.04		0.083
CACM-1714	0.038		0.083
CACM-2098	0.037		0.083
CACM-2427	0.036		0.083
CACM-3084	0.034		0.083
CACM-3148	0.033		0.083
CACM-2969	0.032		0.083
CACM-2686	0.031		0.083
CACM-2798	0.03		0.083
CACM-2216	0.029		0.083
CACM-2057	0.029		0.083
CACM-2212	0.028		0.083
CACM-0711	0.027		0.083
CACM-2249	0.026		0.083
CACM-3072	0.026		0.083
CACM-1918	0.025		0.083
CACM-1584	0.024		0.083
CACM-2349	0.024		0.083
CACM-2578	0.023		0.083
CACM-1081	0.023		0.083
CACM-1987	0.022		0.083
CACM-2371	0.043		0.167
CACM-2667	0.043		0.167
CACM-2402	0.042		0.167
CACM-2936	0.041		0.167
CACM-3131	0.04		0.167
CACM-1663	0.039		0.167
CACM-1153	0.038		0.167
CACM-2004	0.038		0.167
CACM-2081	0.037		0.167
CACM-1583	0.036		0.167
CACM-1305	0.036		0.167
CACM-1003	0.035		0.167
CACM-2313	0.034		0.167
CACM-2566	0.034		0.167
CACM-1780	0.033		0.167
CACM-2565	0.033		0.167
CACM-2090	0.032		0.167
CACM-1514	0.032		0.167
CACM-3165	0.031		0.167
CACM-1410	0.031		0.167
CACM-1157	0.03		0.167
CACM-1920	0.03		0.167
CACM-2333	0.029		0.167
CACM-2548	0.029		0.167
CACM-2187	0.029		0.167
CACM-3043	0.042		0.25
CACM-2802	0.042		0.25
CACM-1745	0.041		0.25
CACM-3119	0.041		0.25
CACM-2078	0.04		0.25
CACM-1433	0.039		0.25
CACM-0052	0.039		0.25
CACM-0758	0.038		0.25
CACM-2176	0.038		0.25
CACM-2547	0.037		0.25
CACM-2025	0.037		0.25
CACM-2900	0.037		0.25
CACM-2847	0.036		0.25
CACM-1779	0.036		0.25
CACM-2113	0.035		0.25
CACM-0298	0.035		0.25
CACM-2114	0.034		0.25
CACM-3098	0.034		0.25
CACM-1604	0.034		0.25
CACM-2954	0.033		0.25
CACM-3135	0.033		0.25
CACM-2893	0.033		0.25
CACM-2734	0.032		0.25
CACM-3151	0.032		0.25
CACM-1431	0.032		0.25
CACM-2152	0.031		0.25
CACM-2862	0.031		0.25
CACM-1936	0.031		0.25
CACM-0088	0.03		0.25
CACM-2457	0.03		0.25
