Doc_name	Precision	Recall
CACM-2229	0.0		0.0
CACM-1933	0.0		0.0
CACM-1725	0.0		0.0
CACM-2289	0.0		0.0
CACM-2794	0.0		0.0
CACM-2644	0.0		0.0
CACM-2200	0.0		0.0
CACM-1679	0.0		0.0
CACM-1697	0.0		0.0
CACM-3021	0.0		0.0
CACM-1924	0.0		0.0
CACM-3026	0.0		0.0
CACM-2884	0.0		0.0
CACM-2146	0.0		0.0
CACM-2606	0.0		0.0
CACM-2767	0.0		0.0
CACM-2927	0.059		0.053
CACM-3131	0.056		0.053
CACM-3166	0.053		0.053
CACM-2283	0.05		0.053
CACM-1874	0.048		0.053
CACM-2950	0.045		0.053
CACM-1385	0.043		0.053
CACM-2263	0.042		0.053
CACM-2902	0.04		0.053
CACM-1691	0.038		0.053
CACM-1717	0.037		0.053
CACM-2424	0.036		0.053
CACM-2031	0.034		0.053
CACM-3006	0.033		0.053
CACM-1930	0.032		0.053
CACM-2402	0.031		0.053
CACM-2692	0.03		0.053
CACM-2490	0.029		0.053
CACM-2325	0.029		0.053
CACM-1420	0.056		0.105
CACM-0531	0.054		0.105
CACM-2273	0.053		0.105
CACM-2903	0.051		0.105
CACM-2276	0.05		0.105
CACM-2410	0.049		0.105
CACM-1171	0.048		0.105
CACM-1366	0.047		0.105
CACM-3037	0.068		0.158
CACM-2936	0.067		0.158
CACM-1539	0.087		0.211
CACM-1840	0.106		0.263
CACM-1841	0.125		0.316
CACM-2770	0.122		0.316
CACM-2627	0.12		0.316
CACM-2210	0.118		0.316
CACM-1862	0.115		0.316
CACM-1658	0.113		0.316
CACM-2819	0.111		0.316
CACM-2109	0.109		0.316
CACM-2726	0.107		0.316
CACM-3115	0.105		0.316
CACM-2525	0.103		0.316
CACM-1879	0.102		0.316
CACM-0944	0.1		0.316
CACM-0409	0.098		0.316
CACM-3163	0.097		0.316
CACM-2753	0.095		0.316
CACM-2674	0.094		0.316
CACM-2863	0.092		0.316
CACM-2723	0.091		0.316
CACM-1674	0.09		0.316
CACM-2544	0.088		0.316
CACM-1768	0.087		0.316
CACM-2968	0.086		0.316
CACM-1099	0.085		0.316
CACM-1109	0.083		0.316
CACM-2355	0.082		0.316
CACM-2089	0.095		0.368
CACM-2142	0.093		0.368
CACM-2860	0.092		0.368
CACM-2924	0.091		0.368
CACM-3018	0.09		0.368
CACM-3160	0.089		0.368
CACM-2035	0.087		0.368
CACM-0942	0.086		0.368
CACM-1392	0.085		0.368
CACM-2679	0.084		0.368
CACM-2722	0.083		0.368
CACM-2997	0.082		0.368
CACM-1780	0.081		0.368
CACM-2694	0.08		0.368
CACM-3011	0.08		0.368
CACM-2657	0.079		0.368
CACM-2226	0.078		0.368
CACM-2734	0.077		0.368
CACM-2979	0.076		0.368
CACM-2314	0.075		0.368
CACM-1783	0.074		0.368
CACM-1886	0.074		0.368
CACM-3055	0.073		0.368
CACM-3134	0.072		0.368
CACM-2138	0.071		0.368
CACM-2208	0.071		0.368
CACM-2483	0.07		0.368
