query	p@5
1	0.0
2	0.0
3	0.0
4	0.2
5	0.0
6	0.0
7	0.0
8	0.0
9	0.2
10	0.4
11	0.6
12	0.4
13	0.6
14	0.0
15	0.2
16	0.2
17	0.4
18	0.0
19	0.8
20	0.4
21	0.2
22	0.0
23	0.6
24	0.2
25	0.4
26	0.0
27	0.4
28	0.6
29	0.0
30	0.2
31	0.0
32	0.2
33	0.0
36	0.0
37	0.2
38	0.2
39	0.2
40	0.4
42	0.0
43	0.4
44	0.4
45	0.6
48	0.0
49	0.2
57	0.2
58	0.4
59	0.6
60	0.2
61	1.0
62	0.0
63	1.0
64	0.2
